Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom département;Sexe;geo_point_2d;HospConv;SSR_USLD;autres;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
974;2021-02-02;22;2;795;56;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;1;0;1;2
974;2021-02-02;14;1;388;28;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-02-05;10;0;411;28;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-08-29;67;14;211;8;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;6;3;1;4
974;2020-09-27;28;12;195;7;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-29;24;3;190;13;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;;;;;;;
974;2020-09-30;53;16;396;21;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;6;1;0;6
974;2020-10-03;28;10;205;8;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2020-10-21;37;10;460;26;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;0;2;0;6
974;2020-10-22;38;11;462;26;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;3;1;0;2
974;2020-10-28;54;10;477;29;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;9;0;0;1
974;2021-02-17;50;21;411;30;4;REU;La Réunion;La Réunion;Homme;-21.1332035811,55.5325090448;;;;;;;
974;2021-03-08;159;56;942;80;4;REU;La Réunion;La Réunion;Tous;-21.1332035811,55.5325090448;;;;17;3;2;3
974;2021-07-25;56;14;1100;127;4;REU;La Réunion;La Réunion;Femme;-21.1332035811,55.5325090448;28.0;14.0;0.0;;;;
