Période (Trimestre);Date;Catégorie;Tranche d'âge;Nb moyen demandeur emploi;Nb moyen demandeur emploi Homme;Nb moyen demandeur emploi Femme;Différence Nb demandeur emploi trimestre précédent;Nb moyen entrées;Nb moyen sorties;Nb moyen demandeur emploi longue durée;Code Officiel Département;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Iso 3166-3 Zone
2007-T1;2007-01;B;Indifférent;5690;;;-60.0;;;;974;Réunion;04;La Réunion;REU
2008-T2;2008-04;B;Indifférent;5770;;;40.0;;;;974;Réunion;04;La Réunion;REU
2015-T4;2015-10;B;Indifférent;10210;;;0.0;;;;974;Réunion;04;La Réunion;REU
1997-T1;1997-01;D;Indifférent;2370;;;-90.0;;;;974;Réunion;04;La Réunion;REU
2016-T4;2016-10;D;Indifférent;4430;;;-380.0;;;;974;Réunion;04;La Réunion;REU
2021-T2;2021-04;D;Indifférent;7200;;;400.0;;;;974;Réunion;04;La Réunion;REU
2000-T1;2000-01;E;Indifférent;6130;;;-310.0;;;;974;Réunion;04;La Réunion;REU
2001-T2;2001-04;E;Indifférent;5270;;;-300.0;;;;974;Réunion;04;La Réunion;REU
2005-T2;2005-04;E;Indifférent;6980;;;1670.0;;;;974;Réunion;04;La Réunion;REU
2005-T3;2005-07;E;Indifférent;7200;;;220.0;;;;974;Réunion;04;La Réunion;REU
2015-T2;2015-04;E;Indifférent;15170;;;40.0;;;;974;Réunion;04;La Réunion;REU
2019-T1;2019-01;E;Indifférent;9580;;;190.0;;;;974;Réunion;04;La Réunion;REU
2009-T4;2009-10;C;Indifférent;6650;;;410.0;;;;974;Réunion;04;La Réunion;REU
2021-T3;2021-07;C;Indifférent;19480;;;410.0;;;;974;Réunion;04;La Réunion;REU
2006-T1;2006-01;ABC;Indifférent;98030;47490;50540;-810.0;9380.0;10420.0;42720.0;974;Réunion;04;La Réunion;REU
2009-T4;2009-10;ABC;Indifférent;114390;57130;57260;5740.0;12170.0;10030.0;46410.0;974;Réunion;04;La Réunion;REU
2014-T3;2014-07;ABC;Indifférent;155700;76480;79220;470.0;10660.0;10610.0;88380.0;974;Réunion;04;La Réunion;REU
2015-T2;2015-04;ABC;Indifférent;158680;77310;81370;2030.0;10650.0;9470.0;88220.0;974;Réunion;04;La Réunion;REU
2015-T3;2015-07;ABC;Indifférent;159990;77620;82370;1310.0;10350.0;10160.0;89540.0;974;Réunion;04;La Réunion;REU
