Code INSEE;Commune;Nombre de personnes;Lieu de travail;Sexe;Mode de transport;Code EPCI;Nom de l'EPCI;Nom du département;Nom de la région
97406;La Plaine-des-Palmistes;15;Autre commune du département de résidence;Femmes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97402;Bras-Panon;69;Autre commune du département de résidence;Hommes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97404;L'Étang-Salé;70;Autre commune du département de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97415;Saint-Paul;10;Autre commune du département de résidence;Hommes;Pas de transport;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97403;Entre-Deux;5;Autre commune du département de résidence;Femmes;Pas de transport;249740085;CA du Sud;LA REUNION;LA REUNION
97421;Salazie;275;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97414;Saint-Louis;2701;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97422;Le Tampon;309;Commune de résidence;Hommes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97423;Les Trois-Bassins;20;Commune de résidence;Hommes;Transports en commun;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97403;Entre-Deux;115;Commune de résidence;Hommes;Marche à pied;249740085;CA du Sud;LA REUNION;LA REUNION
97413;Saint-Leu;3;Autre région en France métropolitaine;Hommes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97424;Cilaos;10;Autre commune du département de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97407;Le Port;1145;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97417;Saint-Philippe;26;Autre commune du département de résidence;Femmes;Transports en commun;249740085;CA du Sud;LA REUNION;LA REUNION
97405;Petite-Île;3;Autre région en France métropolitaine;Femmes;Voiture, camion, fourgonnette;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97415;Saint-Paul;3;Autre (Dom, Com, étranger);Hommes;Deux roues;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97411;Saint-Denis;13;Autre (Dom, Com, étranger);Femmes;Voiture, camion, fourgonnette;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97403;Entre-Deux;5;Autre (Dom, Com, étranger);Femmes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97416;Saint-Pierre;407;Commune de résidence;Hommes;Pas de transport;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97419;Sainte-Rose;432;Autre commune du département de résidence;Hommes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97403;Entre-Deux;71;Commune de résidence;Femmes;Pas de transport;249740085;CA du Sud;LA REUNION;LA REUNION
97408;La Possession;168;Commune de résidence;Hommes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97415;Saint-Paul;133;Commune de résidence;Femmes;Deux roues;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97422;Le Tampon;28;Autre commune du département de résidence;Femmes;Pas de transport;249740085;CA du Sud;LA REUNION;LA REUNION
97422;Le Tampon;8;Autre (Dom, Com, étranger);Femmes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97423;Les Trois-Bassins;35;Commune de résidence;Femmes;Pas de transport;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97404;L'Étang-Salé;114;Commune de résidence;Hommes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97410;Saint-Benoît;3;Autre (Dom, Com, étranger);Hommes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97401;Les Avirons;18;Commune de résidence;Hommes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97415;Saint-Paul;4742;Autre commune du département de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97407;Le Port;1375;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97408;La Possession;32;Autre commune du département de résidence;Femmes;Marche à pied;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97411;Saint-Denis;515;Commune de résidence;Hommes;Pas de transport;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97418;Sainte-Marie;258;Commune de résidence;Femmes;Marche à pied;249740119;CA Intercommunale du Nord de la Réunion (Cinor);LA REUNION;LA REUNION
97412;Saint-Joseph;5;Autre (Dom, Com, étranger);Femmes;Voiture, camion, fourgonnette;249740085;CA du Sud;LA REUNION;LA REUNION
97417;Saint-Philippe;5;Autre commune du département de résidence;Hommes;Deux roues;249740085;CA du Sud;LA REUNION;LA REUNION
97401;Les Avirons;8;Autre commune du département de résidence;Femmes;Deux roues;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97405;Petite-Île;27;Autre commune du département de résidence;Femmes;Transports en commun;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97414;Saint-Louis;13;Autre commune du département de résidence;Hommes;Marche à pied;249740077;CA Civis (Communauté Intercommunale des Villes Solidaires);LA REUNION;LA REUNION
97409;Saint-André;120;Commune de résidence;Hommes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97419;Sainte-Rose;5;Autre région en France métropolitaine;Hommes;Voiture, camion, fourgonnette;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
97415;Saint-Paul;8149;Commune de résidence;Femmes;Voiture, camion, fourgonnette;249740101;CA Territoire de la Côte Ouest (Tco);LA REUNION;LA REUNION
97412;Saint-Joseph;75;Commune de résidence;Hommes;Transports en commun;249740085;CA du Sud;LA REUNION;LA REUNION
97402;Bras-Panon;35;Commune de résidence;Femmes;Transports en commun;249740093;CA Intercommunale de la Réunion Est (Cirest);LA REUNION;LA REUNION
